I0,I1
0.000000,-7.560577
0.000000,-10.507385
0.000000,-4.327118
0.000000,-1.281464
0.000000,-0.493164
0.000000,-3.386566
0.000000,-1.842194
0.000000,-2.736115
0.000000,-1.900696
0.000000,-1.036163
0.000000,-5.189850
0.000000,-3.516449
0.000000,-0.619568
0.000000,5.192627
0.000000,-1.234558
0.000000,-6.037201
0.000000,-6.698120
0.000000,-2.001068
0.000000,0.167786
0.000000,-6.129517
0.000000,-3.700775
0.000000,-3.430817
0.000000,-1.896332
0.000000,-1.702393
0.000000,-2.599396
0.000000,-5.425171
0.000000,-3.289001
0.000000,1.600586
0.000000,3.017548
0.000000,-7.128540
0.000000,-5.781342
0.000000,-3.903473
0.000000,-2.545380
0.000000,-0.315155
0.000000,-3.303162
0.000000,-4.400238
0.000000,-3.037964
0.000000,-0.760284
0.000000,-2.442596
0.000000,-6.388397
0.000000,-3.881714
0.000000,-0.067047
0.000000,2.736572
0.000000,-1.098236
0.000000,-5.871796
0.000000,-3.182526
0.000000,0.769684
0.000000,0.745331
0.000000,-4.782471
0.000000,-6.422150
0.000000,-3.863220
0.000000,-2.229156
0.000000,-1.253418
0.000000,-4.210114
0.000000,-4.567566
0.000000,-3.073273
0.000000,0.254028
0.000000,0.314941
0.000000,-6.920990
0.000000,-5.367462
0.000000,-0.297729
0.000000,2.449158
0.000000,0.194031
0.000000,-3.896912
0.000000,-3.019623
0.000000,-5.698395
0.000000,-4.298004
0.000000,-3.307129
0.000000,-7.688049
0.000000,-5.716980
0.000000,-0.445007
0.000000,4.480652
0.000000,-5.063110
0.000000,-8.108063
0.000000,-3.813049
0.000000,-1.778412
0.000000,-1.396027
0.000000,-2.096863
0.000000,-0.494568
0.000000,-0.801880
0.000000,-1.929138
0.000000,-0.207703
0.000000,-6.033203
0.000000,-8.383179
0.000000,-2.970459
0.000000,-0.657043
0.000000,-2.042328
0.000000,-5.242371
0.000000,-5.708649
0.000000,-2.450684
0.000000,1.054657
0.000000,-1.934692
0.000000,-4.844086
0.000000,-2.104095
0.000000,-3.043274
0.000000,-0.377045
0.000000,-1.849548
0.000000,-7.761749
0.000000,-5.662323
0.000000,0.452301
0.000000,0.726532
0.000000,-6.984558
0.000000,-7.374451
0.000000,-2.808136
0.000000,-1.627258
0.000000,-0.244965
0.000000,-3.789490
0.000000,-2.329742
0.000000,-0.458069
0.000000,0.256653
0.000000,0.694214
0.000000,-3.693298
0.000000,-3.186890
0.000000,-1.098114
0.000000,3.689423
0.000000,-4.404968
0.000000,-7.357178
0.000000,-3.849457
0.000000,-1.957306
0.000000,-4.075989
0.000000,-4.834106
0.000000,-3.680389
0.000000,-2.303162
0.000000,-0.633545
0.000000,-3.646698
0.000000,-7.287598
0.000000,-3.261261
0.000000,2.798035
0.000000,2.074646
0.000000,-5.422272
0.000000,-3.337738
0.000000,-2.804779
0.000000,-0.854004
0.000000,-1.416199
0.000000,-3.366730
0.000000,-2.404388
0.000000,-3.119080
0.000000,-0.051910
0.000000,-0.093414
0.000000,-4.891205
0.000000,-3.865204
0.000000,-0.993805
0.000000,3.181000
0.000000,-4.096527
0.000000,-6.359375
0.000000,-2.875580
0.000000,-0.342651
0.000000,-1.007935
0.000000,-4.177399
0.000000,-4.253296
0.000000,-4.029480
0.000000,-2.416962
0.000000,-2.655823
0.000000,-5.999268
0.000000,-5.857727
0.000000,-3.405518
0.000000,2.148895
0.000000,-0.706482
0.000000,-4.416260
0.000000,-2.442047
0.000000,0.125397
0.000000,2.049408
0.000000,-0.624512
0.000000,-3.794159
0.000000,-2.329102
0.000000,-5.333588
0.000000,-2.491028
0.000000,-4.902985
0.000000,-5.730927
0.000000,-5.617493
0.000000,-0.928070
0.000000,-0.197937
0.000000,-6.264465
0.000000,-7.768555
0.000000,-1.423340
0.000000,0.218201
0.000000,-1.260040
0.000000,-3.590576
0.000000,-1.546661
0.000000,-2.487549
0.000000,-1.797089
0.000000,-1.620209
0.000000,-7.183350
0.000000,-7.358826
0.000000,-2.839508
0.000000,4.465485
0.000000,-3.347961
0.000000,-6.536896
